Script|First_Line_Doc
snapwait.sql|Taking a &1 second snapshot of wait "&2"...
snb.sql|No documentation found
sne.sql|No documentation found
snr.sql|RUNNING SELECT * FROM (&snr_query);;
soff.sql|SQL> set serverout off
sol102.sql|No documentation found
sol112.sql|No documentation found
someload.sql|Generate some load for &1 hours....
source.sql|No documentation found
source2.sql|No documentation found
sout.sql|set serverout on size 1000000 format wrapped
sowalk.sql|No documentation found
sp.sql|Show SPFILE parameters from v$spparameter matching %&1%
splast.sql|No documentation found
spmem.sql|No documentation found
spoolrun.sql|No documentation found
sprivs.sql|No documentation found
sprivs2.sql|No documentation found
sql.sql|Show SQL text, child cursors and execution stats for SQL hash value &1 child &2
sql_profile_hints.sql|No documentation found
sqla.sql|No documentation found
sqlbinds.sql|Show captured binds from V$SQL_BIND_CAPTURE...
sqlbindsum.sql|No documentation found
sqlcsstat.sql|No documentation found
sqlexecid.sql|No documentation found
sqlf.sql|No documentation found
sqlfh.sql|Purpose:     Display the full SQL Feature Hieararchy from v$sql_feature
sqlflame.sql|Purpose:     Demo script for displaying execution plan profile as a flame chart
sqlfn.sql|No documentation found
sqlfna.sql|No documentation found
sqlh.sql|No documentation found
sqli.sql|No documentation found
sqlid.sql|No documentation found
sqlidx.sql|Purpose:     A temporary script/hack to display exadata-specific metrics along normal SQL stuff from V$SQL
sqll.sql|No documentation found
sqlmem.sql|Show shared pool memory usage of SQL statement with SQL_ID &1
sqlmemh.sql|Show shared pool memory usage of SQL statement with hash value &1
sqlmemx.sql|Show shared pool memory usage of SQL statement with SQL_ID &1
sqlmon.sql|Purpose:     Spool a SQL Monitoring report to a local HTML file and open it
sqlmon_restarts.sql|Purpose:     List UPDATE/DELETE statements that have experienced restarts due to write consistency from V$SQL_PLAN_MONITOR
sqlmon_sn.sql|Querying V$SQL_MONITOR_STATNAME...
sqlmoni.sql|Purpose:     Spool a SQL Monitoring report to a local HTML file and open it
sqlopt.sql|Show compilation environment stored inside cursors for SQLID &1 child# &2 parameter &3
sqlprof.sql|No documentation found
sqlt.sql|No documentation found
sqlt9.sql|No documentation found
sqltune_tune_sqlid.sql|dbms_sqltune.create_tuning_task(task_name=>'SQLTT_&1', sql_id=>'&1', time_limit=>&2)
sr.sql|No documentation found
sr2.sql|No documentation found
sr_old.sql|No documentation found
srp.sql|No documentation found
srs.sql|No documentation found
sru.sql|No documentation found
srun.sql|No documentation found
st.sql|No documentation found
statn.sql|No documentation found
subheap.sql|No documentation found
sum.sql|No documentation found
svcs.sql|No documentation found
sw.sql|Purpose:     Display current Session Wait info
sw2.sql|Purpose:     Display current Session Wait info
swa.sql|No documentation found
swag.sql|No documentation found
swani.sql|No documentation found
swb.sql|No documentation found
swc.sql|No documentation found
swf.sql|No documentation found
swg.sql|Purpose:     Display given Session Wait info grouped by state and event
swh.sql|No documentation found
swo.sql|Purpose:     Display current Session Wait info
swp.sql|No documentation found
swu.sql|No documentation found
swug.sql|No documentation found
sye.sql|No documentation found
syn.sql|No documentation found
syn2.sql|No documentation found
sys.sql|No documentation found
sysm.sql|Display SYSTEM metrics from V$METRIC
sysopt.sql|Show system default compilation environment, parameter &1
syspriv.sql|No documentation found
syt.sql|No documentation found
t.sql|No documentation found
tab.sql|No documentation found
tab2.sql|No documentation found
tabhist.sql|No documentation found
tabhisthybrid.sql|usage:   @tabhisthybrid [<owner>.]<table_name> <column_name>
tabpart.sql|No documentation found
tabsubpart.sql|No documentation found
tail.sql|No documentation found
temp.sql|No documentation found
ti.sql|No documentation found
tlc.sql|Display top-level call names matching %&1% (Oracle 11.2+)
toff.sql|No documentation found
ton.sql|No documentation found
top.sql|No documentation found
topcur.sql|Showing SQLs with at least &atleast cursors
topcurmem.sql|No documentation found
topmsh.sql|No documentation found
topseg.sql|Show top space users per tablespace - collapse partitions to table/index level
topseg2.sql|Show top space users per tablespace - collapse partitions to table/index level
topsegstat.sql|No documentation found
topsql.sql|Purpose:     Show TOP SQL ordered by user-provided criteria
tpt.sql|No documentation found
tq.sql|Show PX Table Queue statistics from last Parallel Execution in this session...
trace.sql|No documentation found
traceme.sql|No documentation found
traceoff.sql|No documentation found
tracesid.sql|No documentation found
tracesidoff.sql|No documentation found
trans.sql|No documentation found
trci.sql|No documentation found
trig.sql|Show triggers by table/trigger name &1....
trigger.sql|No documentation found
trim_database.sql|purpose	: print alter database commands for trimming database files
troff.sql|Setting linesize truncate off
tron.sql|Setting linesize truncate on
ts.sql|No documentation found
tsv.sql|No documentation found
typ.sql|No documentation found
typ2.sql|No documentation found
u.sql|No documentation found
u_exit.sql|No documentation found
ua.sql|No documentation found
uall.sql|No documentation found
ub.sql|No documentation found
ucpid.sql|No documentation found
uds.sql|Show undo statistics from V$UNDOSTAT....
ue.sql|No documentation found
uganco.sql|No documentation found
ugav.sql|No documentation found
ulock.sql|No documentation found
umachine.sql|No documentation found
undefparm.sql|No documentation found
unix2date.sql|No documentation found
uo.sql|Listing current user's objects matching %&1%
uopid.sql|No documentation found
uos.sql|No documentation found
up.sql|No documentation found
us.sql|Show database usernames from dba_users matching %&1%
use.sql|No documentation found
